order_id,order_date,region,category,product,unit_price,quantity,discount,revenue,cost,profit
12739,2022-01-01,East,Electronics,Laptop,67560.91,4,0.0,270243.64,180116.67,90126.97
11333,2022-01-01,South,Clothing,Shoes,3496.49,3,0.1,9440.52,6170.39,3270.13
13337,2022-01-01,North,Sports,Yoga Mat,1446.7,4,0.2,4629.44,2949.53,1679.91
12115,2022-01-01,South,Furniture,Chair,12420.35,2,0.1,22356.63,17023.33,5333.3
11105,2022-01-01,Central,Clothing,Jacket,4429.6,2,0.0,8859.2,4496.55,4362.65
11146,2022-01-02,Central,Food & Beverage,Protein Bar,313.79,5,0.0,1568.95,1054.26,514.69
12478,2022-01-02,North,Furniture,Table,17547.57,3,0.0,52642.71,36741.69,15901.02
13009,2022-01-02,East,Food & Beverage,Snack Box,432.55,4,0.0,1730.2,1096.0,634.2
11397,2022-01-02,North,Food & Beverage,Juice Pack,269.17,4,0.0,1076.68,622.0,454.68
12455,2022-01-03,West,Clothing,Shoes,3280.76,4,0.0,13123.04,8283.6,4839.44
14487,2022-01-03,East,Furniture,Bookshelf,8687.54,5,0.15,36922.05,29833.39,7088.66
13653,2022-01-03,North,Food & Beverage,Tea Set,1880.92,9,0.0,16928.28,10924.63,6003.65
10751,2022-01-04,Central,Food & Beverage,Tea Set,1745.58,4,0.0,6982.32,3540.86,3441.46
11276,2022-01-04,North,Electronics,Headphones,8026.0,4,0.15,27288.4,20605.51,6682.89
13353,2022-01-04,North,Sports,Cycling Helmet,2813.56,4,0.1,10128.82,6951.99,3176.83
14692,2022-01-04,East,Sports,Dumbbells,3048.03,3,0.05,8686.89,5767.17,2919.72
13893,2022-01-05,West,Sports,Dumbbells,2963.54,4,0.0,11854.16,6517.21,5336.95
14241,2022-01-05,North,Electronics,Smart Watch,13659.68,4,0.05,51906.78,36425.16,15481.62
10640,2022-01-06,North,Food & Beverage,Juice Pack,269.3,3,0.2,646.32,470.41,175.91
12737,2022-01-06,South,Clothing,T-Shirt,821.45,8,0.2,5257.28,3847.59,1409.69
14061,2022-01-06,North,Electronics,Smart Watch,14433.47,1,0.0,14433.47,7892.68,6540.79
14285,2022-01-06,Central,Clothing,Jeans,2183.71,4,0.2,6987.87,4503.33,2484.54
11521,2022-01-06,South,Furniture,Sofa,46113.95,2,0.15,78393.71,59400.72,18992.99
14407,2022-01-06,North,Furniture,Bed Frame,23461.45,5,0.0,117307.25,61400.82,55906.43
14954,2022-01-06,North,Sports,Yoga Mat,1428.91,2,0.05,2714.93,1619.88,1095.05
13607,2022-01-07,South,Electronics,Tablet,29783.88,5,0.0,148919.4,97681.73,51237.67
10490,2022-01-07,South,Sports,Yoga Mat,1377.79,4,0.0,5511.16,3234.39,2276.77
14471,2022-01-07,North,Furniture,Chair,11660.36,4,0.15,39645.22,26350.5,13294.72
13448,2022-01-07,North,Clothing,Jacket,4548.62,10,0.05,43211.89,23189.32,20022.57
13466,2022-01-07,South,Furniture,Bookshelf,8723.7,2,0.1,15702.66,12150.68,3551.98
10497,2022-01-08,North,Furniture,Bookshelf,9428.25,2,0.15,16028.02,10827.83,5200.19
11300,2022-01-09,East,Electronics,Smart Watch,14349.89,1,0.2,11479.91,7539.25,3940.66
13641,2022-01-09,North,Food & Beverage,Coffee Beans,1271.17,2,0.05,2415.22,1319.23,1095.99
11556,2022-01-09,North,Clothing,Dress,3192.62,2,0.2,5108.19,3353.1,1755.09
11498,2022-01-09,Central,Sports,Running Shoes,4306.37,6,0.15,21962.49,13910.13,8052.36
10843,2022-01-10,North,Sports,Dumbbells,2716.26,2,0.15,4617.64,3544.06,1073.58
10604,2022-01-10,South,Clothing,Jacket,4438.11,2,0.2,7100.98,4531.78,2569.2
14952,2022-01-10,North,Sports,Tennis Racket,6330.5,3,0.1,17092.35,12070.73,5021.62
12161,2022-01-11,East,Clothing,Shoes,3496.47,4,0.0,13985.88,8530.46,5455.42
11779,2022-01-11,West,Furniture,Table,17524.2,5,0.2,70096.8,55424.18,14672.62
12377,2022-01-11,South,Sports,Running Shoes,4667.61,1,0.0,4667.61,3098.2,1569.41
13814,2022-01-11,Central,Food & Beverage,Protein Bar,280.61,3,0.0,841.83,540.77,301.06
13753,2022-01-11,East,Furniture,Table,18314.6,5,0.1,82415.7,47541.25,34874.45
11456,2022-01-11,West,Electronics,Laptop,74547.68,3,0.05,212460.89,118004.45,94456.44
10354,2022-01-11,North,Electronics,Tablet,25394.15,5,0.0,126970.75,84597.4,42373.35
13647,2022-01-11,Central,Furniture,Bed Frame,20941.69,3,0.2,50260.06,38427.08,11832.98
11691,2022-01-12,East,Electronics,Smart Watch,14916.84,4,0.05,56683.99,40521.91,16162.08
11717,2022-01-12,West,Electronics,Laptop,70427.62,3,0.0,211282.86,127895.53,83387.33
14368,2022-01-12,Central,Sports,Cycling Helmet,3034.2,3,0.1,8192.34,5163.54,3028.8
14273,2022-01-12,Central,Furniture,Table,18798.89,4,0.0,75195.56,49795.7,25399.86
14688,2022-01-12,East,Clothing,Jeans,2290.48,2,0.1,4122.86,2628.92,1493.94
14078,2022-01-12,East,Clothing,Jeans,2096.62,1,0.1,1886.96,1301.01,585.95
11258,2022-01-12,Central,Food & Beverage,Protein Bar,273.32,2,0.0,546.64,341.9,204.74
13967,2022-01-12,East,Furniture,Bookshelf,8291.33,3,0.0,24873.99,15021.94,9852.05
14917,2022-01-13,West,Furniture,Sofa,48094.55,2,0.0,96189.1,54787.98,41401.12
14381,2022-01-13,South,Clothing,Shoes,3588.19,6,0.15,18299.77,12987.31,5312.46
14192,2022-01-13,Central,Electronics,Laptop,82327.14,3,0.05,234632.35,153219.75,81412.6
12495,2022-01-13,West,Sports,Cycling Helmet,2860.89,3,0.2,6866.14,5026.61,1839.53
13963,2022-01-13,North,Electronics,Mobile Phone,35506.93,3,0.2,85216.63,71785.85,13430.78
11894,2022-01-14,East,Electronics,Laptop,81576.93,3,0.0,244730.79,123385.69,121345.1
11060,2022-01-14,Central,Electronics,Headphones,8308.61,4,0.0,33234.44,21042.49,12191.95
11260,2022-01-14,South,Sports,Running Shoes,4805.29,1,0.1,4324.76,3306.21,1018.55
13973,2022-01-14,South,Furniture,Bed Frame,21565.44,3,0.15,54991.87,32793.74,22198.13
10698,2022-01-14,West,Electronics,Mobile Phone,32796.94,3,0.1,88551.74,67810.38,20741.36
11757,2022-01-14,South,Food & Beverage,Juice Pack,272.43,5,0.0,1362.15,865.17,496.98
12049,2022-01-15,West,Sports,Tennis Racket,5744.82,3,0.2,13787.57,8625.94,5161.63
11849,2022-01-15,South,Food & Beverage,Coffee Beans,1242.89,4,0.2,3977.25,3353.61,623.64
11021,2022-01-15,Central,Sports,Yoga Mat,1487.88,4,0.1,5356.37,3648.23,1708.14
11022,2022-01-15,West,Clothing,Jacket,4129.33,5,0.05,19614.32,12380.51,7233.81
11426,2022-01-15,South,Electronics,Smart Watch,15931.3,5,0.0,79656.5,44169.01,35487.49
13323,2022-01-16,Central,Furniture,Sofa,43510.44,4,0.1,156637.58,117563.42,39074.16
10300,2022-01-16,West,Food & Beverage,Protein Bar,270.56,4,0.0,1082.24,628.02,454.22
11955,2022-01-16,South,Food & Beverage,Coffee Beans,1285.34,2,0.2,2056.54,1343.66,712.88
12786,2022-01-17,South,Food & Beverage,Snack Box,438.04,4,0.0,1752.16,996.12,756.04
11119,2022-01-17,South,Electronics,Mobile Phone,32858.9,6,0.0,197153.4,117136.96,80016.44
14360,2022-01-17,South,Clothing,Jacket,4655.42,1,0.2,3724.34,2382.52,1341.82
13979,2022-01-17,North,Sports,Dumbbells,2859.91,3,0.05,8150.74,5533.9,2616.84
12177,2022-01-17,West,Food & Beverage,Juice Pack,243.91,3,0.0,731.73,447.43,284.3
11337,2022-01-17,Central,Sports,Cycling Helmet,2941.67,2,0.2,4706.67,3492.19,1214.48
10233,2022-01-17,Central,Electronics,Smart Watch,15568.58,4,0.15,52933.17,39248.18,13684.99
14761,2022-01-17,East,Clothing,Jeans,2188.56,6,0.15,11161.66,8515.46,2646.2
12472,2022-01-18,West,Clothing,Shoes,3532.55,4,0.15,12010.67,8800.47,3210.2
13554,2022-01-18,South,Sports,Cycling Helmet,2544.27,3,0.05,7251.17,3889.7,3361.47
14037,2022-01-18,Central,Furniture,Table,16572.65,2,0.0,33145.3,18053.61,15091.69
14425,2022-01-18,East,Sports,Cycling Helmet,2717.89,2,0.0,5435.78,3610.39,1825.39
13207,2022-01-18,North,Furniture,Chair,10987.49,6,0.0,65924.94,35411.2,30513.74
13583,2022-01-19,East,Furniture,Bed Frame,22481.34,4,0.0,89925.36,54248.41,35676.95
12162,2022-01-19,North,Food & Beverage,Snack Box,447.03,3,0.0,1341.09,780.88,560.21
10466,2022-01-19,East,Sports,Tennis Racket,6121.86,4,0.0,24487.44,14760.32,9727.12
12454,2022-01-20,Central,Furniture,Bookshelf,8119.09,3,0.1,21921.54,14135.23,7786.31
14733,2022-01-21,Central,Clothing,Dress,2898.22,3,0.2,6955.73,5286.9,1668.83
13156,2022-01-21,West,Food & Beverage,Snack Box,411.46,3,0.0,1234.38,807.63,426.75
12329,2022-01-21,Central,Sports,Dumbbells,2789.45,5,0.0,13947.25,9599.64,4347.61
12563,2022-01-21,South,Food & Beverage,Tea Set,1659.46,2,0.1,2987.03,2232.43,754.6
11763,2022-01-21,Central,Electronics,Laptop,73594.85,2,0.0,147189.7,77521.32,69668.38
12750,2022-01-22,South,Food & Beverage,Juice Pack,240.63,3,0.1,649.7,362.36,287.34
12147,2022-01-22,West,Sports,Dumbbells,2722.31,3,0.05,7758.58,4210.32,3548.26
11381,2022-01-22,North,Electronics,Laptop,82440.19,2,0.05,156636.36,110417.68,46218.68
13391,2022-01-22,South,Sports,Yoga Mat,1469.65,3,0.1,3968.06,2515.17,1452.89
12396,2022-01-23,East,Clothing,Shoes,3325.76,4,0.1,11972.74,7145.28,4827.46
14361,2022-01-23,North,Food & Beverage,Protein Bar,308.77,2,0.05,586.66,314.25,272.41
13338,2022-01-23,East,Electronics,Tablet,26789.94,5,0.05,127252.21,69790.09,57462.12
11358,2022-01-23,West,Food & Beverage,Tea Set,1721.5,2,0.05,3270.85,2322.82,948.03
13729,2022-01-24,North,Electronics,Laptop,79901.97,3,0.0,239705.91,130720.75,108985.16
10476,2022-01-24,East,Furniture,Table,18436.65,4,0.0,73746.6,48433.22,25313.38
10885,2022-01-24,South,Sports,Cycling Helmet,3048.07,4,0.2,9753.82,7890.65,1863.17
12362,2022-01-24,Central,Clothing,T-Shirt,868.17,4,0.1,3125.41,1882.67,1242.74
13021,2022-01-24,Central,Food & Beverage,Snack Box,422.22,2,0.2,675.55,425.94,249.61
11183,2022-01-24,West,Electronics,Tablet,26803.05,3,0.1,72368.24,53235.02,19133.22
10027,2022-01-24,North,Sports,Running Shoes,4265.61,2,0.2,6824.98,5947.37,877.61
14826,2022-01-24,North,Sports,Tennis Racket,6326.14,3,0.15,16131.66,11887.31,4244.35
14343,2022-01-25,South,Sports,Yoga Mat,1374.11,2,0.0,2748.22,1872.82,875.4
11931,2022-01-25,West,Sports,Dumbbells,3209.44,3,0.2,7702.66,6495.33,1207.33
14901,2022-01-25,South,Sports,Cycling Helmet,2742.74,3,0.05,7816.81,4791.3,3025.51
12909,2022-01-25,Central,Clothing,Jeans,2240.78,2,0.0,4481.56,2327.64,2153.92
12901,2022-01-25,East,Furniture,Bed Frame,20522.82,4,0.15,69777.59,44991.32,24786.27
13531,2022-01-25,South,Clothing,Shoes,3515.55,3,0.1,9491.99,7235.51,2256.48
12231,2022-01-25,Central,Electronics,Headphones,7441.17,2,0.05,14138.22,8068.84,6069.38
10668,2022-01-25,East,Furniture,Table,16588.96,4,0.05,63038.05,33934.73,29103.32
13414,2022-01-25,North,Sports,Running Shoes,4399.55,2,0.1,7919.19,5314.97,2604.22
12592,2022-01-26,North,Furniture,Bed Frame,22965.75,4,0.15,78083.55,63057.15,15026.4
12818,2022-01-26,South,Furniture,Table,18729.17,3,0.1,50568.76,38275.15,12293.61
13333,2022-01-26,South,Clothing,Jacket,4503.31,3,0.0,13509.93,8676.73,4833.2
14212,2022-01-26,Central,Electronics,Laptop,73627.32,2,0.1,132529.18,74464.94,58064.24
11877,2022-01-26,Central,Electronics,Smart Watch,15402.15,2,0.2,24643.44,15465.2,9178.24
10688,2022-01-26,South,Electronics,Headphones,7337.81,3,0.0,22013.43,12943.26,9070.17
14066,2022-01-27,Central,Electronics,Tablet,26930.71,2,0.05,51168.35,27425.09,23743.26
12021,2022-01-27,Central,Furniture,Bookshelf,8827.25,5,0.05,41929.44,23530.09,18399.35
10916,2022-01-27,Central,Electronics,Laptop,68085.1,6,0.05,388085.07,260775.0,127310.07
14352,2022-01-27,North,Food & Beverage,Tea Set,1850.62,10,0.05,17580.89,9742.6,7838.29
13275,2022-01-27,East,Clothing,Jacket,4787.05,5,0.15,20344.96,13145.59,7199.37
13239,2022-01-28,East,Sports,Yoga Mat,1447.06,2,0.0,2894.12,1996.44,897.68
11996,2022-01-28,South,Electronics,Smart Watch,14134.59,2,0.2,22615.34,15413.88,7201.46
14033,2022-01-28,South,Food & Beverage,Juice Pack,236.85,4,0.2,757.92,628.47,129.45
12176,2022-01-28,South,Electronics,Tablet,27953.03,1,0.05,26555.38,14803.67,11751.71
12194,2022-01-28,Central,Clothing,Jacket,4159.85,2,0.0,8319.7,5086.48,3233.22
12461,2022-01-28,East,Furniture,Sofa,45511.34,5,0.1,204801.03,132009.71,72791.32
12234,2022-01-28,North,Electronics,Smart Watch,15439.79,3,0.15,39371.46,31807.53,7563.93
11721,2022-01-29,South,Electronics,Laptop,78075.52,4,0.15,265456.77,178233.85,87222.92
10200,2022-01-29,Central,Food & Beverage,Coffee Beans,1282.75,3,0.0,3848.25,1949.16,1899.09
12149,2022-01-29,Central,Clothing,T-Shirt,772.57,3,0.15,1970.05,1400.19,569.86
10671,2022-01-29,East,Clothing,T-Shirt,863.67,5,0.0,4318.35,2561.8,1756.55
13266,2022-01-29,West,Clothing,Jeans,2002.89,5,0.1,9013.01,5696.01,3317.0
12729,2022-01-29,South,Furniture,Sofa,40822.28,5,0.2,163289.12,132797.23,30491.89
13668,2022-01-29,West,Sports,Yoga Mat,1588.92,2,0.1,2860.06,1843.93,1016.13
14948,2022-01-30,East,Furniture,Chair,11536.25,1,0.0,11536.25,6922.74,4613.51
11454,2022-01-30,West,Clothing,Jeans,1993.42,3,0.0,5980.26,3495.9,2484.36
14260,2022-01-31,East,Sports,Dumbbells,3071.04,4,0.05,11669.95,7290.23,4379.72
12300,2022-01-31,South,Furniture,Bed Frame,23480.69,4,0.2,75138.21,47122.08,28016.13
14272,2022-01-31,East,Electronics,Smart Watch,13579.94,2,0.2,21727.9,14944.59,6783.31
10052,2022-01-31,North,Clothing,Jeans,2221.66,6,0.05,12663.46,8295.82,4367.64
10215,2022-02-01,South,Food & Beverage,Protein Bar,274.33,1,0.0,274.33,151.3,123.03
